lifecycle_time,day_type,strike_confidence,distance_bucket,n,markets_in_bucket,share,n_weekday,n_weekend
T-3m,weekday,ALL,1-2bps,100,7,0.07,,
T-3m,weekday,ALL,2-5bps,100,26,0.26,,
T-3m,weekday,ALL,5-10bps,100,22,0.22,,
T-3m,weekday,ALL,>10bps,100,42,0.42,,
T-3m,weekday,ALL,P(<1bps),100,3,0.03,,
T-3m,weekday,ALL,P(<2bps),100,10,0.1,,
T-3m,weekday,ALL,P(<5bps),100,36,0.36,,
T-3m,weekend,ALL,<1bps,100,19,0.19,,
T-3m,weekend,ALL,1-2bps,100,9,0.09,,
T-3m,weekend,ALL,2-5bps,100,28,0.28,,
T-3m,weekend,ALL,5-10bps,100,23,0.23,,
T-3m,weekend,ALL,>10bps,100,21,0.21,,
T-3m,weekend,ALL,P(<1bps),100,19,0.19,,
T-3m,weekend,ALL,P(<2bps),100,28,0.28,,
T-3m,weekend,ALL,P(<5bps),100,56,0.56,,
T-3m,weekend_minus_weekday,ALL,<1bps,,,0.16,100,100
T-3m,weekend_minus_weekday,ALL,1-2bps,,,0.01999999999999999,100,100
T-3m,weekend_minus_weekday,ALL,2-5bps,,,0.020000000000000018,100,100
T-3m,weekend_minus_weekday,ALL,5-10bps,,,0.010000000000000009,100,100
T-3m,weekend_minus_weekday,ALL,>10bps,,,-0.21,100,100
T-3m,weekday,HIGH,<1bps,6,0,0.0,,
T-3m,weekday,HIGH,1-2bps,6,2,0.3333333333333333,,
T-3m,weekday,HIGH,2-5bps,6,0,0.0,,
T-3m,weekday,HIGH,5-10bps,6,0,0.0,,
T-3m,weekday,HIGH,>10bps,6,4,0.6666666666666666,,
T-3m,weekday,HIGH,P(<1bps),6,0,0.0,,
T-3m,weekday,HIGH,P(<2bps),6,2,0.3333333333333333,,
