slug,weekday_weekend,week,et_hour_block,time_to_resolution_bin,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,max_no_trade_interval_sec,price_jump_count_5c
btc-updown-15m-1785713400,weekend,2026-07-27,18-24,T-30s_to_T-15s,29,330.749415,322.2821760066392,4.1237,2.0,2
btc-updown-15m-1785713400,weekend,2026-07-27,18-24,T-15s_to_settlement,60,855.832755,767.1289260095659,5.0,3.0,9
btc-updown-15m-1785724200,weekend,2026-07-27,18-24,T-15m_to_T-10m,260,5747.058156,2587.7956190679483,5.5450975,14.0,99
btc-updown-15m-1785724200,weekend,2026-07-27,18-24,T-10m_to_T-5m,213,4075.447982,1536.2086649892417,5.7,24.0,80
btc-updown-15m-1785724200,weekend,2026-07-27,18-24,T-5m_to_T-2m,111,5419.859396,3887.4136750087323,7.072133,23.0,16
btc-updown-15m-1785724200,weekend,2026-07-27,18-24,T-2m_to_T-1m,4,48.028,47.931944,13.511,24.0,0
btc-updown-15m-1785724200,weekend,2026-07-27,18-24,T-60s_to_T-30s,2,170.0,169.82999999999998,85.0,15.0,0
btc-updown-15m-1785724200,weekend,2026-07-27,18-24,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785724200,weekend,2026-07-27,18-24,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785762000,weekday,2026-08-03,06-12,T-15m_to_T-10m,254,3245.438846,1569.1689849723725,6.0,13.0,101
btc-updown-15m-1785762000,weekday,2026-08-03,06-12,T-10m_to_T-5m,238,4232.663799,2164.923807989327,6.0,15.0,80
btc-updown-15m-1785762000,weekday,2026-08-03,06-12,T-5m_to_T-2m,213,5613.166767,2546.9722210118107,7.5,11.0,70
btc-updown-15m-1785762000,weekday,2026-08-03,06-12,T-2m_to_T-1m,98,2429.069873,1981.9956980029065,7.12511,10.0,12
btc-updown-15m-1785762000,weekday,2026-08-03,06-12,T-60s_to_T-30s,1,1.72,1.7027999999999999,1.72,24.0,0
btc-updown-15m-1785762000,weekday,2026-08-03,06-12,T-30s_to_T-15s,2,10.0,9.9,5.0,10.0,0
btc-updown-15m-1785762000,weekday,2026-08-03,06-12,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785783600,weekday,2026-08-03,12-18,T-15m_to_T-10m,225,2914.045616,1496.7115200049193,5.0,21.0,74
btc-updown-15m-1785783600,weekday,2026-08-03,12-18,T-10m_to_T-5m,348,6209.40163,3005.5828649826803,5.56,11.0,113
btc-updown-15m-1785783600,weekday,2026-08-03,12-18,T-5m_to_T-2m,239,4476.981271,3167.309420999192,7.0,5.0,75
btc-updown-15m-1785783600,weekday,2026-08-03,12-18,T-2m_to_T-1m,65,2536.4411,1685.1807179920306,15.0,9.0,16
btc-updown-15m-1785783600,weekday,2026-08-03,12-18,T-60s_to_T-30s,40,929.784855,914.0874620001223,5.0,11.0,3
btc-updown-15m-1785783600,weekday,2026-08-03,12-18,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785783600,weekday,2026-08-03,12-18,T-15s_to_settlement,2,50.0,49.95,25.0,10.0,0
btc-updown-15m-1785805200,weekday,2026-08-03,18-24,T-15m_to_T-10m,405,8764.98086,4639.6973579918185,6.222221,7.0,164
btc-updown-15m-1785805200,weekday,2026-08-03,18-24,T-10m_to_T-5m,230,6412.94362,4121.6871400188,8.0,15.0,67
btc-updown-15m-1785805200,weekday,2026-08-03,18-24,T-5m_to_T-2m,96,7261.3706999999995,2608.415462987931,6.515000000000001,18.0,16
btc-updown-15m-1785805200,weekday,2026-08-03,18-24,T-2m_to_T-1m,7,214.913,214.64317300000002,4.99,34.0,0
btc-updown-15m-1785805200,weekday,2026-08-03,18-24,T-60s_to_T-30s,8,9106.023,7248.614140047299,118.86,13.0,1
btc-updown-15m-1785805200,weekday,2026-08-03,18-24,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785805200,weekday,2026-08-03,18-24,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785826800,weekday,2026-08-03,00-06,T-15m_to_T-10m,212,4441.959346,2204.9237109859923,6.878201499999999,15.0,70
btc-updown-15m-1785826800,weekday,2026-08-03,00-06,T-10m_to_T-5m,283,5311.726554,2363.6837500229003,8.540538,9.0,106
btc-updown-15m-1785826800,weekday,2026-08-03,00-06,T-5m_to_T-2m,171,5721.069024,3030.8705049685304,8.0,12.0,44
btc-updown-15m-1785826800,weekday,2026-08-03,00-06,T-2m_to_T-1m,2,1819.994,1817.524011942762,909.997,45.0,0
btc-updown-15m-1785826800,weekday,2026-08-03,00-06,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1785826800,weekday,2026-08-03,00-06,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785826800,weekday,2026-08-03,00-06,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785870000,weekday,2026-08-03,12-18,T-15m_to_T-10m,273,4235.556918,2127.785291026915,5.555554,8.0,86
btc-updown-15m-1785870000,weekday,2026-08-03,12-18,T-10m_to_T-5m,261,7454.0233610000005,3774.0914009885532,7.0,12.0,105
btc-updown-15m-1785870000,weekday,2026-08-03,12-18,T-5m_to_T-2m,286,8962.809764,4018.1172809725376,10.9054035,5.0,84
btc-updown-15m-1785870000,weekday,2026-08-03,12-18,T-2m_to_T-1m,114,2310.637483,1212.0540540140764,9.186455500000001,4.0,42
btc-updown-15m-1785870000,weekday,2026-08-03,12-18,T-60s_to_T-30s,74,1550.41534,1058.329062004244,10.0,9.0,14
btc-updown-15m-1785870000,weekday,2026-08-03,12-18,T-30s_to_T-15s,16,957.9588,203.5183119965,15.07575,3.0,3
btc-updown-15m-1785870000,weekday,2026-08-03,12-18,T-15s_to_settlement,3,116.1,86.519,19.0,9.0,1
btc-updown-15m-1785913200,weekday,2026-08-03,00-06,T-15m_to_T-10m,405,7749.996285,3987.3234369757297,6.666665,9.0,127
btc-updown-15m-1785913200,weekday,2026-08-03,00-06,T-10m_to_T-5m,248,4335.687737,2393.195562003472,7.0336385,14.0,100
btc-updown-15m-1785913200,weekday,2026-08-03,00-06,T-5m_to_T-2m,137,3216.786004,2086.895654008082,10.0,22.0,35
btc-updown-15m-1785913200,weekday,2026-08-03,00-06,T-2m_to_T-1m,7,972.3,541.3037000093,19.019,19.0,2
